area_sqft,bhk,locality,location_type,age_of_property,furnishing,latitude,longitude,price,listing_type,locality_price_idx,is_urban,is_furnished,is_semi_furnished,furnished_score,log_area,bhk_area_ratio,age_x_bhk,urban_x_area,bhk_squared,log_locality_idx,log_price,geo_cluster,cluster_price_pct,size_tier,premium_location,value_density,age_factor,bhk_premium
2930.0,4,Indiranagar,URBAN,12,Unfurnished,12.916136401697162,77.64597774466316,25121580.0,SALE,23825868.31698633,1,0,0,0,7.983098940710892,0.0013651877133105802,48,2930.0,16,16.986282494435372,17.039237835481856,10,0.8296703296703297,4,1,8131.695671326393,0.8064516129032259,1
4655.0,4,Koramangala,URBAN,28,Furnished,13.080970827471,77.43967365874968,36398294.0,SALE,23548107.33883813,1,1,0,2,8.445911989411274,0.0008592910848549946,112,4655.0,16,16.97455604988572,17.410032490850572,7,0.30357142857142855,4,1,5058.669675368019,0.641025641025641,1
3643.0,5,Electronic City,URBAN,29,Unfurnished,13.000187654518404,77.47355840901001,15691195.0,SALE,13287462.601624476,1,0,0,0,8.200837258379849,0.001372495196266813,145,3643.0,25,16.402331562334098,16.568610348700204,3,0.5079365079365079,4,0,3647.3957182609047,0.6329113924050632,1
2842.0,4,Koramangala,URBAN,18,Unfurnished,13.054039880244428,77.70069675180238,23107396.0,SALE,23548107.33883813,1,0,0,0,7.952615111651,0.0014074595355383533,72,2842.0,16,16.97455604988572,16.955663340683895,9,0.5,4,1,8285.7520544821,0.7352941176470589,1
4885.0,5,HSR Layout,URBAN,10,Unfurnished,12.831447754856748,77.49947837626681,33038213.0,SALE,20393050.158753116,1,0,0,0,8.494129251817686,0.0010235414534288639,50,4885.0,25,16.830704771314164,17.313175449465916,11,0.18421052631578946,4,0,4174.626439867578,0.8333333333333334,1
3961.0,5,Koramangala,URBAN,22,Semi-Furnished,13.050749978272952,77.50728604910421,33593607.0,SALE,23548107.33883813,1,0,1,1,8.284504227258497,0.0012623074981065387,110,3961.0,25,16.97455604988572,17.329846368740633,7,0.30357142857142855,4,1,5944.9904920065965,0.6944444444444444,1
2301.0,3,Koramangala,URBAN,17,Unfurnished,12.876968800970964,77.65015700817213,21674494.0,SALE,23548107.33883813,1,0,0,0,7.741533589281828,0.001303780964797914,51,2301.0,9,16.97455604988572,16.891646781628204,4,0.5192307692307693,4,1,10233.858035131738,0.7462686567164178,0
2384.0,3,HSR Layout,RURAL,27,Unfurnished,12.93924253941903,77.48335899208647,8942774.0,SALE,20393050.158753116,0,0,0,0,7.776954403322442,0.0012583892617449664,81,0.0,9,16.830704771314164,16.006356501669313,0,0.9595959595959596,4,0,8554.131778000468,0.6493506493506493,0
1462.0,2,Electronic City,URBAN,17,Unfurnished,12.879556171931354,77.48650259169119,7592471.0,SALE,13287462.601624476,1,0,0,0,7.288244401020124,0.0013679890560875513,34,1462.0,4,16.402331562334098,15.84266778804539,8,0.26063829787234044,3,0,9088.551711097452,0.7462686567164178,0
4119.0,5,Koramangala,URBAN,7,Unfurnished,13.099285050812163,77.67533453935195,38703524.0,SALE,23548107.33883813,1,0,0,0,8.323608442343572,0.0012138868657441126,35,4119.0,25,16.97455604988572,17.471441239123315,9,0.5,4,1,5716.947642349631,0.8771929824561403,1
3691.0,5,Indiranagar,URBAN,4,Furnished,13.068639067327693,77.71959075601562,41691479.0,SALE,23825868.31698633,1,1,0,2,8.213923595622743,0.00135464643727987,20,3691.0,25,16.986282494435372,17.5458073493468,9,0.8272727272727273,4,1,6455.125526140972,0.9259259259259258,1
1976.0,3,Bellandur,URBAN,23,Unfurnished,12.951143627232916,77.64547095067076,12954161.0,SALE,18161715.65250959,1,0,0,0,7.589335823170617,0.0015182186234817814,69,1976.0,9,16.714826455993023,16.37692768443652,6,0.8445945945945946,4,0,9191.151646006876,0.684931506849315,0
770.0,1,Koramangala,RURAL,23,Unfurnished,12.986349228882652,77.58170679934622,4492927.0,SALE,23548107.33883813,0,0,0,0,6.647688373563329,0.0012987012987012987,23,0.0,1,16.97455604988572,15.31801516299623,10,0.47802197802197804,2,1,30581.957582906663,0.684931506849315,0
3389.0,3,Bellandur,URBAN,7,Furnished,12.906782142619926,77.6289150775777,27826600.0,SALE,18161715.65250959,1,1,0,2,8.128585200374497,0.0008852168781351431,21,3389.0,9,16.714826455993023,17.14150299165571,6,0.8445945945945946,4,0,5359.019077164234,0.8771929824561403,0
3857.0,5,Bellandur,URBAN,9,Unfurnished,12.858787046340687,77.57090064055852,25724186.0,SALE,18161715.65250959,1,0,0,0,8.257904193465674,0.0012963443090484833,45,3857.0,25,16.714826455993023,17.062942235686442,0,0.6515151515151515,4,0,4708.767345737513,0.8474576271186441,1
3730.0,4,Bellandur,URBAN,1,Unfurnished,13.081523883633428,77.75528376611554,26704374.0,SALE,18161715.65250959,1,0,0,0,8.224431573221159,0.0010723860589812334,4,3730.0,16,16.714826455993023,17.100337967625176,1,0.8492063492063492,4,0,4869.092668233134,0.9803921568627451,1
525.0,1,Koramangala,RURAL,3,Semi-Furnished,12.99081290163138,77.47089410965611,4768806.0,SALE,23548107.33883813,0,0,1,1,6.26530121273771,0.0019047619047619048,3,0.0,1,16.97455604988572,15.377606726761295,7,0.30357142857142855,1,1,44853.53778826311,0.9433962264150942,0
2797.0,4,Koramangala,URBAN,11,Unfurnished,13.02649050651981,77.41046245781297,26849497.0,SALE,23548107.33883813,1,0,0,0,7.936660155225426,0.0014301036825169824,44,2797.0,16,16.97455604988572,17.10575768228254,7,0.30357142857142855,4,1,8419.058755394397,0.819672131147541,1
3309.0,4,Whitefield,URBAN,22,Unfurnished,12.89249702654592,77.59013738949463,16364967.0,SALE,16830216.25128554,1,0,0,0,8.104703468371108,0.0012088244182532487,88,3309.0,16,16.63868647465679,16.6106535105229,0,0.19696969696969696,4,0,5086.194092259155,0.6944444444444444,1
3190.0,4,Indiranagar,URBAN,8,Semi-Furnished,13.074082407164344,77.79957662822738,28283801.0,SALE,23825868.31698633,1,0,1,1,8.068089626278244,0.0012539184952978057,32,3190.0,16,16.986282494435372,17.157799831257496,9,0.8272727272727273,4,1,7468.92423729979,0.8620689655172414,1
3468.0,4,Whitefield,URBAN,5,Unfurnished,13.01937549723101,77.44442285308001,20434837.0,SALE,16830216.25128554,1,0,0,0,8.15162164696975,0.0011534025374855825,20,3468.0,16,16.63868647465679,16.83275174737385,5,0.1937984496124031,4,0,4853.003532665958,0.9090909090909091,1
3616.0,5,Whitefield,URBAN,6,Semi-Furnished,13.058544471446927,77.71713230084016,24985212.0,SALE,16830216.25128554,1,0,1,1,8.193400231952097,0.0013827433628318584,30,3616.0,25,16.63868647465679,17.033794727839172,1,0.5158730158730159,4,0,4654.373963297992,0.8928571428571428,1
4470.0,5,Electronic City,URBAN,27,Semi-Furnished,12.94447342458107,77.78857789801857,18824653.0,SALE,13287462.601624476,1,0,1,1,8.405367376233981,0.0011185682326621924,135,4470.0,25,16.402331562334098,16.750677951667242,6,0.16891891891891891,4,0,2972.5867117728135,0.6493506493506493,1
1061.0,2,Whitefield,URBAN,1,Furnished,12.893045663690458,77.45213968266499,10306069.0,SALE,16830216.25128554,1,1,0,2,6.967909201801884,0.001885014137606032,2,1061.0,4,16.63868647465679,16.148243600007145,0,0.19696969696969696,2,0,15862.59778632002,0.9803921568627451,0
1301.0,2,HSR Layout,URBAN,7,Furnished,12.824454378513506,77.41128685629512,13653002.0,SALE,20393050.158753116,1,1,0,2,7.171656822768514,0.0015372790161414297,14,1301.0,4,16.830704771314164,16.42947005539879,11,0.18421052631578946,3,0,15674.904042085407,0.8771929824561403,0
4211.0,4,Bellandur,RURAL,18,Unfurnished,13.096159114408298,77.61295388522979,16372899.0,SALE,18161715.65250959,0,0,0,0,8.345692873253865,0.000949893137022085,72,0.0,16,16.714826455993023,16.61113808698678,5,0.5310077519379846,4,0,4312.922263716359,0.7352941176470589,1
4102.0,5,Electronic City,URBAN,16,Semi-Furnished,12.939080653869004,77.49602491079497,19970827.0,SALE,13287462.601624476,1,0,1,1,8.319473692442186,0.0012189176011701609,80,4102.0,25,16.402331562334098,16.809783166725754,3,0.5079365079365079,4,0,3239.2644080020664,0.7575757575757576,1
634.0,1,HSR Layout,URBAN,21,Furnished,12.877732402020593,77.57838340253255,6177355.0,SALE,20393050.158753116,1,1,0,2,6.453624998892692,0.0015772870662460567,21,634.0,1,16.830704771314164,15.636400906172563,10,0.15384615384615385,1,0,32165.694256708386,0.7042253521126761,0
1012.0,2,HSR Layout,URBAN,11,Furnished,12.940925583589832,77.55729577269008,10390292.0,SALE,20393050.158753116,1,1,0,2,6.920671504248683,0.001976284584980237,22,1012.0,4,16.830704771314164,16.156382562870284,10,0.15384615384615385,2,0,20151.23533473628,0.819672131147541,0
516.0,1,Indiranagar,RURAL,21,Semi-Furnished,12.94755050150598,77.57320724732773,3682457.0,SALE,23825868.31698633,0,0,1,1,6.248042874508429,0.001937984496124031,21,0.0,1,16.986282494435372,15.119091021958566,10,0.8296703296703297,1,1,46174.16340501227,0.7042253521126761,0
1295.0,2,Electronic City,RURAL,15,Semi-Furnished,12.812100796259829,77.76528719411066,4330554.0,SALE,13287462.601624476,0,0,1,1,7.16703787691222,0.0015444015444015444,30,0.0,4,16.402331562334098,15.281206267284523,6,0.16891891891891891,3,0,10260.588881563302,0.7692307692307692,0
2561.0,4,Electronic City,URBAN,5,Unfurnished,13.09656698145307,77.41583349181036,15062323.0,SALE,13287462.601624476,1,0,0,0,7.848543482456679,0.0015618898867629833,20,2561.0,16,16.402331562334098,16.52770708449958,3,0.5079365079365079,4,0,5188.388364554657,0.9090909090909091,1
2142.0,3,Koramangala,URBAN,21,Unfurnished,13.001860388136723,77.55308886417092,17790928.0,SALE,23548107.33883813,1,0,0,0,7.669961995473577,0.0014005602240896359,63,2142.0,9,16.97455604988572,16.694199278627092,7,0.30357142857142855,4,1,10993.514163789976,0.7042253521126761,0
1188.0,2,Electronic City,URBAN,21,Unfurnished,12.857108281401706,77.70959682822686,6040603.0,SALE,13287462.601624476,1,0,0,0,7.080867896690782,0.0016835016835016834,42,1188.0,4,16.402331562334098,15.614014564911331,6,0.16891891891891891,3,0,11184.732829650233,0.7042253521126761,0
3461.0,4,Bellandur,URBAN,8,Semi-Furnished,13.016315075480469,77.51474177355753,22500453.0,SALE,18161715.65250959,1,0,1,1,8.149601735736155,0.0011557353366079169,32,3461.0,16,16.714826455993023,16.92904604474886,5,0.5310077519379846,4,0,5247.53413825761,0.8620689655172414,1
1356.0,2,Whitefield,URBAN,17,Semi-Furnished,12.86048596964318,77.42739882990507,8681676.0,SALE,16830216.25128554,1,0,1,1,7.213031659834869,0.0014749262536873156,34,1356.0,4,16.63868647465679,15.976725270740259,0,0.19696969696969696,3,0,12411.66390212798,0.7462686567164178,0
3431.0,3,Whitefield,URBAN,12,Furnished,13.073967868440302,77.52774893040649,24830859.0,SALE,16830216.25128554,1,1,0,2,8.140898460607852,0.0008743806470416788,36,3431.0,9,16.63868647465679,17.0275977924061,5,0.1937984496124031,4,0,4905.3384585501435,0.8064516129032259,0
